Date,Time,Lat,Lon,Wind (mph),Pressure (mb),Storm Type
8/16/2017,6:00:00 AM,13.7,-45.8,29,1013,Tropical Low
8/16/2017,9:00:00 AM,13.713,-46.6,29,1011,Tropical Low
8/16/2017,12:00:00 PM,13.7,-47.4,29,1010,Tropical Low
8/16/2017,3:00:00 PM,13.65,-48.2,29,1009,Tropical Low
8/16/2017,6:00:00 PM,13.6,-49,29,1009,Tropical Low
8/16/2017,9:00:00 PM,13.607,-49.815,29,1009,Tropical Low
8/17/2017,12:00:00 AM,13.6,-50.6,29,1010,Tropical Low
8/17/2017,3:00:00 AM,13.522,-51.315,29,1009,Tropical Low
8/17/2017,6:00:00 AM,13.4,-52,29,1008,Tropical Depression
8/17/2017,9:00:00 AM,13.242,-52.685,31,1008,Tropical Depression
8/17/2017,12:00:00 PM,13.1,-53.4,35,1008,Tropical Depression
8/17/2017,3:00:00 PM,13.027,-54.185,37,1006,Tropical Depression
8/17/2017,6:00:00 PM,13,-55,40,1004,Tropical Storm
8/17/2017,9:00:00 PM,12.992,-55.785,43,1003,Tropical Storm
8/18/2017,12:00:00 AM,13,-56.6,46,1003,Tropical Storm
8/18/2017,3:00:00 AM,12.986,-57.486,46,1003,Tropical Storm
8/18/2017,6:00:00 AM,13,-58.4,46,1004,Tropical Storm
8/18/2017,9:00:00 AM,13.082,-59.28,46,1004,Tropical Storm
8/18/2017,10:00:00 AM,13.1,-59.6,46,1004,Tropical Storm
8/18/2017,12:00:00 PM,13.1,-60.3,46,1004,Tropical Storm
8/18/2017,3:00:00 PM,13.2,-61.2,46,1004,Tropical Storm
8/18/2017,6:00:00 PM,13.2,-62.2,40,1005,Tropical Storm
8/18/2017,9:00:00 PM,13.286,-63.127,40,1005,Tropical Storm
8/19/2017,12:00:00 AM,13.4,-64,40,1005,Tropical Storm
8/19/2017,3:00:00 AM,13.45,-64.85,40,1005,Tropical Storm
8/19/2017,6:00:00 AM,13.5,-65.7,40,1005,Tropical Storm
8/19/2017,9:00:00 AM,13.6,-66.6,37,1005,Tropical Storm
8/19/2017,12:00:00 PM,13.7,-67.5,35,1006,Tropical Depression
8/19/2017,3:00:00 PM,13.75,-68.35,35,1006,Tropical Depression
8/19/2017,6:00:00 PM,13.8,-69.2,35,1007,Tropical Wave
8/19/2017,9:00:00 PM,13.892,-70.085,35,1007,Tropical Wave
8/20/2017,12:00:00 AM,14,-71,35,1007,Tropical Wave
8/20/2017,3:00:00 AM,14.1,-71.928,35,1007,Tropical Wave
8/20/2017,6:00:00 AM,14.2,-72.9,35,1007,Tropical Wave
8/20/2017,9:00:00 AM,14.293,-73.958,35,1006,Tropical Wave
8/20/2017,12:00:00 PM,14.4,-75,35,1006,Tropical Wave
8/20/2017,3:00:00 PM,14.534,-75.923,35,1006,Tropical Wave
8/20/2017,6:00:00 PM,14.7,-76.8,35,1007,Tropical Wave
8/20/2017,9:00:00 PM,14.877,-77.693,31,1007,Tropical Wave
8/21/2017,12:00:00 AM,15.1,-78.6,29,1007,Tropical Wave
8/21/2017,3:00:00 AM,15.377,-79.535,29,1007,Tropical Wave
8/21/2017,6:00:00 AM,15.7,-80.5,29,1008,Tropical Wave
8/21/2017,9:00:00 AM,16.027,-81.486,29,1008,Tropical Wave
8/21/2017,12:00:00 PM,16.4,-82.5,29,1008,Tropical Wave
8/21/2017,3:00:00 PM,16.85,-83.565,29,1008,Tropical Wave
8/21/2017,6:00:00 PM,17.3,-84.6,29,1008,Tropical Wave
8/21/2017,9:00:00 PM,17.672,-85.553,29,1008,Tropical Wave
8/22/2017,12:00:00 AM,18,-86.4,29,1008,Tropical Wave
8/22/2017,3:00:00 AM,18.292,-87.16,29,1008,Tropical Wave
8/22/2017,6:00:00 AM,18.6,-87.8,29,1009,Tropical Wave
8/22/2017,9:00:00 AM,19,-88.338,29,1009,Tropical Wave
8/22/2017,12:00:00 PM,19.4,-88.8,29,1010,Tropical Wave
8/22/2017,3:00:00 PM,19.722,-89.25,29,1010,Tropical Wave
8/22/2017,6:00:00 PM,20,-89.7,29,1010,Tropical Low
8/22/2017,9:00:00 PM,20.265,-90.2,29,1009,Tropical Low
8/23/2017,12:00:00 AM,20.5,-90.7,29,1009,Tropical Low
8/23/2017,3:00:00 AM,20.7,-91.173,29,1008,Tropical Low
8/23/2017,6:00:00 AM,20.9,-91.6,29,1008,Tropical Low
8/23/2017,9:00:00 AM,21.165,-92.01,31,1007,Tropical Low
8/23/2017,12:00:00 PM,21.4,-92.3,35,1006,Tropical Depression
8/23/2017,3:00:00 PM,21.507,-92.395,37,1005,Tropical Depression
8/23/2017,6:00:00 PM,21.6,-92.4,40,1005,Tropical Storm
8/23/2017,9:00:00 PM,21.755,-92.45,43,1004,Tropical Storm
8/24/2017,12:00:00 AM,22,-92.5,46,1003,Tropical Storm
8/24/2017,3:00:00 AM,22.362,-92.52,52,1000,Tropical Storm
8/24/2017,6:00:00 AM,22.8,-92.6,58,997,Tropical Storm
8/24/2017,9:00:00 AM,23.258,-92.82,63,991,Tropical Storm
8/24/2017,12:00:00 PM,23.7,-93.1,69,986,Tropical Storm
8/24/2017,3:00:00 PM,24.072,-93.328,75,982,Tropical Storm
8/24/2017,6:00:00 PM,24.4,-93.6,81,978,Category 1 Hurricane
8/24/2017,9:00:00 PM,24.708,-93.985,86,975,Category 1 Hurricane
8/25/2017,12:00:00 AM,25,-94.4,92,973,Category 1 Hurricane
8/25/2017,3:00:00 AM,25.292,-94.758,98,969,Category 2 Hurricane
8/25/2017,6:00:00 AM,25.6,-95.1,104,966,Category 2 Hurricane
8/25/2017,9:00:00 AM,25.935,-95.465,106,957,Category 2 Hurricane
8/25/2017,12:00:00 PM,26.3,-95.8,109,949,Category 2 Hurricane
8/25/2017,3:00:00 PM,26.7,-96.065,115,946,Category 3 Major Hurricane
8/25/2017,6:00:00 PM,27.1,-96.3,121,943,Category 3 Major Hurricane
8/25/2017,9:00:00 PM,27.488,-96.581,127,942,Category 3 Major Hurricane
8/26/2017,12:00:00 AM,27.8,-96.8,132,941,Category 4 Major Hurricane
8/26/2017,3:00:00 AM,28,-96.9,132,937,Category 4 Major Hurricane
8/26/2017,6:00:00 AM,28.2,-97.1,121,948,Category 3 Major Hurricane
8/26/2017,9:00:00 AM,28.453,-97.221,98,963,Category 2 Hurricane
8/26/2017,12:00:00 PM,28.7,-97.3,75,978,Category 1 Hurricane
8/26/2017,3:00:00 PM,28.873,-97.422,66,984,Category 1 Hurricane
8/26/2017,6:00:00 PM,29,-97.5,58,991,Tropical Storm
8/26/2017,9:00:00 PM,29.115,-97.45,54,993,Tropical Storm
8/27/2017,12:00:00 AM,29.2,-97.4,52,995,Tropical Storm
8/27/2017,3:00:00 AM,29.28,-97.5,48,996,Tropical Storm
8/27/2017,6:00:00 AM,29.3,-97.6,46,998,Tropical Storm
8/27/2017,9:00:00 AM,29.215,-97.588,43,998,Tropical Storm
8/27/2017,12:00:00 PM,29.1,-97.5,40,998,Tropical Storm
8/27/2017,3:00:00 PM,29.05,-97.373,40,998,Tropical Storm
8/27/2017,6:00:00 PM,29,-97.2,40,998,Tropical Storm
8/27/2017,9:00:00 PM,28.908,-97,40,997,Tropical Storm
8/28/2017,12:00:00 AM,28.8,-96.8,40,997,Tropical Storm
8/28/2017,3:00:00 AM,28.692,-96.643,43,997,Tropical Storm
8/28/2017,6:00:00 AM,28.6,-96.5,46,997,Tropical Storm
8/28/2017,9:00:00 AM,28.542,-96.35,46,997,Tropical Storm
8/28/2017,12:00:00 PM,28.5,-96.2,46,997,Tropical Storm
8/28/2017,3:00:00 PM,28.457,-96.065,46,997,Tropical Storm
8/28/2017,6:00:00 PM,28.4,-95.9,46,997,Tropical Storm
8/28/2017,9:00:00 PM,28.3,-95.657,46,996,Tropical Storm
8/29/2017,12:00:00 AM,28.2,-95.4,46,996,Tropical Storm
8/29/2017,3:00:00 AM,28.127,-95.193,46,996,Tropical Storm
8/29/2017,6:00:00 AM,28.1,-95,46,996,Tropical Storm
8/29/2017,9:00:00 AM,28.12,-94.8,46,995,Tropical Storm
8/29/2017,12:00:00 PM,28.2,-94.6,46,995,Tropical Storm
8/29/2017,3:00:00 PM,28.327,-94.4,48,994,Tropical Storm
8/29/2017,6:00:00 PM,28.5,-94.2,52,993,Tropical Storm
8/29/2017,9:00:00 PM,28.685,-93.985,52,993,Tropical Storm
8/30/2017,12:00:00 AM,28.9,-93.8,52,994,Tropical Storm
8/30/2017,3:00:00 AM,29.062,-93.698,48,992,Tropical Storm
8/30/2017,6:00:00 AM,29.4,-93.6,46,990,Tropical Storm
8/30/2017,8:00:00 AM,29.8,-93.5,46,991,Tropical Storm
8/30/2017,9:00:00 AM,29.924,-93.468,46,991,Tropical Storm
8/30/2017,12:00:00 PM,30.1,-93.4,46,992,Tropical Storm
8/30/2017,3:00:00 PM,30.331,-93.278,43,994,Tropical Storm
8/30/2017,6:00:00 PM,30.6,-93.1,40,996,Tropical Storm
8/30/2017,9:00:00 PM,30.943,-92.858,37,997,Tropical Storm
8/31/2017,12:00:00 AM,31.3,-92.6,35,998,Tropical Depression
8/31/2017,3:00:00 AM,31.607,-92.4,31,998,Tropical Depression
8/31/2017,6:00:00 AM,31.9,-92.2,29,999,Tropical Depression
8/31/2017,9:00:00 AM,32.177,-91.979,25,1000,Tropical Depression
8/31/2017,12:00:00 PM,32.5,-91.7,23,1001,Tropical Depression
8/31/2017,3:00:00 PM,32.942,-91.36,25,1001,Tropical Depression
8/31/2017,6:00:00 PM,33.4,-90.9,29,1001,Tropical Depression
8/31/2017,9:00:00 PM,33.758,-90.294,31,1000,Tropical Depression
9/1/2017,12:00:00 AM,34.1,-89.6,35,1000,Tropical Depression
9/1/2017,3:00:00 AM,34.47,-88.884,35,1001,Tropical Depression
9/1/2017,6:00:00 AM,34.9,-88.2,35,1002,Extratropical
9/1/2017,9:00:00 AM,35.472,-87.598,31,1002,Extratropical
9/1/2017,12:00:00 PM,36,-87.1,29,1002,Extratropical
9/1/2017,3:00:00 PM,36.279,-86.726,25,1003,Extratropical
9/1/2017,6:00:00 PM,36.5,-86.4,23,1004,Extratropical
9/1/2017,9:00:00 PM,36.835,-86,23,1005,Extratropical
9/2/2017,12:00:00 AM,37.2,-85.6,23,1007,Extratropical
9/2/2017,3:00:00 AM,37.58,-85.205,23,1008,Extratropical
9/2/2017,6:00:00 AM,37.9,-84.9,23,1009,Extratropical
9/2/2017,9:00:00 AM,38.09,-84.752,20,1011,Extratropical
9/2/2017,12:00:00 PM,38.2,-84.7,17,1013,Extratropical
